代號,名稱,年/月,營業收入淨額,營業費用,  利息收入,稅前淨利,所得稅費用,合併總損益,其他綜合損益－OCI,本期綜合損益總額,每股盈餘,加權平均股數,發放特別股股息,常續性稅後淨利
2880,華南金,Dec-23,"59,467,447","30,790,196","87,744,182","26,195,305","4,576,885","21,618,420","9,413,303","31,031,723",1.58,"13,642,746",0,"21,618,420"
2881,富邦金,Dec-23,"167,798,693","82,450,905","271,677,108","74,443,839","9,401,537","65,042,302","195,969,492","261,011,794",4.8,"13,014,973","3,515,980","65,042,302"
2882,國泰金,Dec-23,"304,172,639","102,496,484","307,577,036","58,469,289","6,955,472","51,513,817","154,704,106","206,217,923",3.24,"14,669,210","3,390,924","51,513,817"
2883,開發金,Dec-23,"39,552,047","31,575,862","96,812,671","20,576,882","1,628,763","18,948,119","34,903,011","53,851,130",1.13,"16,742,073",0,"18,948,119"
2884,玉山金,Dec-23,"66,695,571","37,501,776","84,436,464","26,512,011","4,764,244","21,747,767","3,543,746","25,291,513",1.41,"15,395,397",0,"21,748,367"
2885,元大金,Dec-23,"98,089,883","49,160,774","62,355,083","33,985,651","5,457,422","28,528,229","13,678,215","42,206,444",2.09,"12,689,082",0,"28,528,229"
2886,兆豐金,Dec-23,"77,321,920","33,498,208","117,567,630","37,047,965","3,800,988","33,246,977","18,340,489","51,587,466",2.37,"14,051,338",0,"33,115,983"
2887,台新金,Dec-23,"69,918,050","32,899,517","74,096,728","17,722,919","3,119,042","14,603,877","7,018,231","21,622,108",1.01,"12,477,062","1,953,751","14,603,877"
2888,新光金,Dec-23,"25,405,384","29,510,045","131,452,391","-12,707,748","-5,383,443","-7,324,305","41,028,553","33,704,248",-0.48,"15,487,622",0,"-7,474,312"
2889,國票金,Dec-23,"7,094,310","3,885,166","5,951,243","3,152,009","665,018","2,486,991","3,991,686","6,478,677",0.58,"3,447,384",0,"2,487,759"
2890,永豐金,Dec-23,"53,901,012","28,525,899","75,530,795","23,070,894","3,306,504","19,764,390","10,432,508","30,196,898",1.62,"12,223,440",0,"19,764,390"
2891,中信金,Dec-23,"136,576,427","86,657,947","220,386,880","66,934,337","9,360,191","57,574,146","35,264,760","92,838,906",2.82,"19,528,030","1,069,980","57,635,929"
2892,第一金,Dec-23,"67,255,132","30,381,928","104,026,679","28,262,256","5,801,255","22,461,001","12,439,581","34,900,582",1.65,"13,620,145",0,"22,407,036"
5880,合庫金,Dec-23,"61,377,038","29,568,025","93,411,635","22,074,663","4,196,448","17,878,215","14,315,939","32,194,154",1.17,"14,709,382",0,"17,878,215"
2880,華南金,Sep-23,"44,976,392","22,916,813","64,155,058","20,266,437","3,374,469","16,891,968","2,012,207","18,904,175",1.24,"13,642,746",0,"16,891,968"
2881,富邦金,Sep-23,"153,600,382","58,526,332","199,793,297","78,740,856","11,498,957","67,241,899","127,523,982","194,765,881",4.94,"13,014,973","3,515,980","67,241,899"
2882,國泰金,Sep-23,"242,440,858","74,544,092","226,957,726","71,002,195","11,258,258","59,743,937","30,381,607","90,125,544",3.81,"14,669,210","3,390,924","59,743,937"
2883,開發金,Sep-23,"37,645,557","23,504,989","71,750,944","20,274,731","2,759,048","17,515,683","8,911,683","26,427,366",1.05,"16,742,073",0,"17,515,683"
2884,玉山金,Sep-23,"48,181,484","27,585,706","61,739,385","19,606,234","3,714,228","15,892,006","1,670,696","17,562,702",1.04,"15,304,878",0,"15,892,006"
2885,元大金,Sep-23,"77,822,467","36,582,691","45,794,178","29,265,482","4,276,763","24,988,719","8,122,183","33,110,902",1.85,"12,689,082",0,"24,988,719"
2886,兆豐金,Sep-23,"57,654,926","24,312,163","84,900,267","29,947,521","2,919,715","27,027,806","8,819,110","35,846,916",1.92,"14,051,338",0,"26,892,008"
2887,台新金,Sep-23,"53,211,558","24,223,439","54,484,151","14,854,914","2,751,226","12,103,688","2,592,765","14,696,453",0.85,"12,477,062","1,461,047","12,103,688"
2888,新光金,Sep-23,"30,267,206","21,081,840","98,112,574","-1,492,615","-799,402","-693,213","19,045,931","18,352,718",-0.05,"15,487,619",0,"-693,213"
2889,國票金,Sep-23,"5,407,192","2,928,564","4,351,545","2,446,917","507,549","1,939,368","1,449,461","3,388,829",0.46,"3,447,384",0,"1,940,020"
2890,永豐金,Sep-23,"41,033,883","21,425,228","55,712,376","18,242,246","2,530,501","15,711,745","4,372,539","20,084,284",1.29,"12,171,880",0,"15,711,745"
2891,中信金,Sep-23,"106,883,198","63,636,959","161,427,301","56,519,412","6,733,771","49,785,641","14,184,566","63,970,207",2.44,"19,497,112","1,069,980","49,785,641"
2892,第一金,Sep-23,"51,736,699","22,342,464","76,305,298","23,824,979","4,798,322","19,026,657","9,438,618","28,465,275",1.4,"13,620,145",0,"18,970,485"
5880,合庫金,Sep-23,"46,039,962","21,986,327","68,819,141","18,514,394","3,524,777","14,989,617","6,050,143","21,039,760",0.99,"14,709,382",0,"14,989,617"
2880,華南金,Jun-23,"29,207,833","15,039,194","41,310,890","12,781,780","2,276,039","10,505,741","3,893,209","14,398,950",0.77,"13,642,746",0,"10,505,741"
2881,富邦金,Jun-23,"98,159,695","37,347,098","128,295,020","46,389,635","3,887,512","42,502,123","157,748,373","200,250,496",3.18,"12,395,213","3,515,980","42,502,123"
2882,國泰金,Jun-23,"162,412,481","48,827,797","147,690,238","38,663,586","5,645,798","33,017,788","93,006,527","126,024,315",1.98,"14,669,210","3,390,924","33,017,788"
2883,開發金,Jun-23,"28,653,440","15,749,269","46,625,988","10,539,707","392,604","10,147,103","25,020,328","35,167,431",0.61,"16,742,073",0,"10,147,103"
2884,玉山金,Jun-23,"31,304,297","17,631,859","39,978,108","13,250,054","2,700,185","10,549,869","1,031,624","11,581,493",0.7,"15,122,341",0,"10,549,869"
2885,元大金,Jun-23,"50,132,604","23,502,892","29,403,193","18,444,326","2,604,795","15,839,531","5,003,467","20,842,998",1.18,"12,689,082",0,"15,839,531"
2886,兆豐金,Jun-23,"38,761,300","15,717,349","54,690,705","20,439,860","1,673,049","18,766,811","10,076,252","28,843,063",1.34,"14,051,338",0,"18,666,747"
2887,台新金,Jun-23,"36,737,274","15,831,474","35,165,363","10,662,926","1,778,239","8,884,687","4,830,489","13,715,176",0.63,"12,477,062","968,680","8,884,687"
2888,新光金,Jun-23,"16,875,205","13,943,426","64,664,033","-9,062,635","-2,730,930","-6,331,705","30,715,853","24,384,148",-0.41,"15,487,618",0,"-6,331,705"
2889,國票金,Jun-23,"3,589,984","1,892,556","2,823,541","1,687,615","348,142","1,339,473","947,868","2,287,341",0.33,"3,447,384",0,"1,339,473"
2890,永豐金,Jun-23,"26,568,352","13,936,374","36,385,986","11,721,484","1,621,980","10,099,504","4,795,787","14,895,291",0.84,"12,067,904",0,"10,099,504"
2891,中信金,Jun-23,"62,490,220","42,087,792","104,371,314","32,840,988","3,151,841","29,689,147","23,454,962","53,144,109",1.48,"19,497,037",0,"29,689,147"
2892,第一金,Jun-23,"35,157,407","14,634,034","49,353,719","16,281,861","3,123,399","13,158,462","8,755,554","21,914,016",0.97,"13,620,145",0,"13,101,599"
5880,合庫金,Jun-23,"30,343,663","14,393,120","44,703,693","12,117,978","2,281,354","9,836,624","8,943,125","18,779,749",0.65,"14,709,382",0,"9,836,624"
2880,華南金,Mar-23,"14,269,978","7,355,275","19,776,108","6,066,714","1,066,643","5,000,071","3,165,688","8,165,759",0.37,"13,642,746",0,"5,000,071"
2881,富邦金,Mar-23,"32,038,301","18,342,327","62,247,815","14,023,883","151,093","13,872,790","134,706,129","148,578,919",1.13,"12,395,213",0,"13,872,790"
2882,國泰金,Mar-23,"68,410,247","23,299,872","71,970,065","7,237,424","64,040","7,173,384","76,967,269","84,140,653",0.48,"14,669,210",0,"7,173,384"
2883,開發金,Mar-23,"11,764,612","7,662,634","22,745,750","3,346,073","-158,501","3,504,574","20,700,903","24,205,477",0.21,"16,742,073",0,"3,504,574"
2884,玉山金,Mar-23,"15,800,210","8,266,322","19,116,060","7,535,772","1,489,186","6,046,586","1,291,198","7,337,784",0.42,"14,283,056",0,"6,046,586"
2885,元大金,Mar-23,"23,590,867","11,721,313","14,182,173","8,030,102","1,625,122","6,404,980","5,603,817","12,008,797",0.46,"12,501,559",0,"6,404,980"
2886,兆豐金,Mar-23,"18,277,614","7,749,624","26,481,590","12,246,279","1,470,410","10,775,869","4,531,923","15,307,792",0.77,"13,939,820",0,"10,765,474"
2887,台新金,Mar-23,"19,222,653","7,749,025","16,722,904","5,954,930","890,513","5,064,417","2,934,658","7,999,075",0.38,"11,974,148","481,664","5,064,417"
2888,新光金,Mar-23,"4,179,720","6,373,196","32,078,412","-11,351,764","-2,323,288","-9,028,476","22,191,546","13,163,070",-0.58,"15,487,618",0,"-9,028,476"
2889,國票金,Mar-23,"1,813,944","897,505","1,409,417","910,942","215,300","695,642","764,426","1,460,068",0.18,"3,447,384",0,"695,642"
2890,永豐金,Mar-23,"12,818,114","6,860,672","17,899,793","5,525,642","777,085","4,748,557","3,593,261","8,341,818",0.41,"11,525,431",0,"4,748,557"
2891,中信金,Mar-23,"23,537,973","20,473,820","50,781,985","15,795,737","2,293,742","13,501,995","18,448,038","31,950,033",0.66,"19,496,990",0,"13,501,995"
2892,第一金,Mar-23,"17,740,895","7,174,927","23,644,123","8,300,099","1,669,681","6,630,418","5,718,966","12,349,384",0.5,"13,223,442",0,"6,630,363"
5880,合庫金,Mar-23,"14,747,394","7,081,168","21,439,906","5,959,065","922,430","5,036,635","6,452,134","11,488,769",0.35,"14,008,935",0,"5,036,635"
2880,華南金,Dec-22,"53,666,752","28,266,312","54,851,569","20,992,991","3,684,520","17,308,471","-22,896,652","-5,588,181",1.27,"13,642,746",0,"17,308,471"
2881,富邦金,Dec-22,"259,458,299","69,891,412","214,650,203","60,945,652","13,081,160","47,864,492","-397,608,175","-349,743,683",3.54,"12,395,213","3,026,121","47,864,492"
2882,國泰金,Dec-22,"341,433,658","88,610,281","250,519,506","49,947,792","11,985,678","37,962,114","-344,316,374","-306,354,260",2.58,"13,189,758","3,390,924","37,962,114"
2883,開發金,Dec-22,"95,317,153","28,532,968","80,244,713","21,940,865","5,551,678","16,389,187","-84,063,024","-67,673,837",0.98,"16,742,073","3,077","16,389,187"
2884,玉山金,Dec-22,"54,805,919","32,826,180","53,853,990","19,903,198","4,121,857","15,781,341","-4,722,290","11,059,051",1.1,"14,271,225",0,"15,775,532"
2885,元大金,Dec-22,"91,501,882","43,235,907","45,232,088","28,413,813","5,703,400","22,710,413","-15,065,715","7,644,698",1.72,"12,501,559",0,"22,710,413"
2886,兆豐金,Dec-22,"56,049,653","29,670,950","69,936,167","21,144,301","2,809,343","18,334,958","-27,884,634","-9,549,676",1.32,"13,939,820",0,"18,334,124"
2887,台新金,Dec-22,"66,442,470","29,199,606","46,391,786","17,649,319","2,793,426","14,855,893","-6,679,363","8,176,530",1.09,"11,974,148","1,845,528","14,855,893"
2888,新光金,Dec-22,"100,907,716","27,128,412","120,790,174","4,705,240","2,536,552","2,168,688","-59,180,711","-57,012,023",0.1,"15,086,800","527,850","2,029,064"
2889,國票金,Dec-22,"5,832,566","3,627,104","4,364,273","2,251,409","597,095","1,654,314","-4,876,709","-3,222,395",0.41,"3,165,429",0,"1,654,354"
2890,永豐金,Dec-22,"47,245,756","25,396,649","47,358,582","19,404,715","3,443,715","15,961,000","-15,729,289","231,711",1.4,"11,383,765",0,"15,961,000"
2891,中信金,Dec-22,"139,252,299","71,400,740","159,818,621","47,048,937","14,435,827","32,613,110","-66,951,060","-34,337,950",1.55,"19,498,679","1,069,980","32,650,044"
2892,第一金,Dec-22,"67,756,394","27,787,186","66,054,361","24,486,604","3,890,941","20,595,663","-8,055,792","12,539,871",1.56,"13,223,442",0,"20,600,594"
5880,合庫金,Dec-22,"53,182,152","28,309,753","63,731,513","24,386,344","3,569,052","20,817,292","-28,978,656","-8,161,364",1.45,"14,008,935",0,"20,817,292"
2880,華南金,Sep-22,"41,842,609","21,385,474","37,170,826","16,548,866","2,655,072","13,893,794","-26,484,327","-12,590,533",1.02,"13,642,746",0,"13,893,794"
2881,富邦金,Sep-22,"290,596,130","51,227,147","153,404,819","104,808,711","19,802,461","85,006,250","-446,919,601","-361,913,351",6.51,"12,395,213","3,026,121","85,006,250"
2882,國泰金,Sep-22,"306,490,719","64,947,063","178,509,807","70,841,106","16,361,774","54,479,332","-611,225,555","-556,746,223",3.83,"13,169,210","3,390,924","54,479,332"
2883,開發金,Sep-22,"98,893,406","21,999,693","57,240,029","27,111,556","6,768,005","20,343,551","-128,415,626","-108,072,075",1.21,"16,742,073","3,077","20,343,551"
2884,玉山金,Sep-22,"40,031,793","23,698,445","36,165,033","14,842,362","3,182,029","11,660,333","-12,114,444","-454,111",0.82,"14,269,919",0,"11,660,333"
2885,元大金,Sep-22,"75,230,544","32,959,681","31,966,132","25,582,196","4,960,333","20,621,863","-22,109,045","-1,487,182",1.57,"12,501,559",0,"20,621,863"
2886,兆豐金,Sep-22,"42,099,167","22,003,035","44,964,600","15,250,013","1,589,612","13,660,401","-30,241,346","-16,580,945",0.98,"13,939,820",0,"13,659,629"
2887,台新金,Sep-22,"47,402,064","21,716,175","31,342,666","10,932,447","2,668,722","8,263,725","-9,426,118","-1,162,393",0.58,"11,974,148","1,353,160","8,263,725"
2888,新光金,Sep-22,"107,980,632","20,494,892","88,427,434","15,998,063","5,621,465","10,376,598","-102,931,138","-92,554,540",0.65,"14,951,726","527,850","10,376,598"
2889,國票金,Sep-22,"4,674,290","2,713,965","3,032,680","1,981,170","479,298","1,501,872","-5,846,616","-4,344,744",0.38,"3,144,038",0,"1,501,901"
2890,永豐金,Sep-22,"37,036,100","19,472,901","31,080,172","15,658,275","2,722,351","12,935,924","-19,025,369","-6,089,445",1.14,"11,383,765",0,"12,935,924"
2891,中信金,Sep-22,"136,757,701","51,735,838","111,102,920","46,797,877","13,750,131","33,047,746","-108,823,752","-75,776,006",1.6,"19,496,990","1,069,980","33,047,746"
2892,第一金,Sep-22,"52,199,520","19,967,822","44,563,105","19,402,443","2,974,146","16,428,297","-10,595,198","5,833,099",1.24,"13,223,442",0,"16,432,662"
5880,合庫金,Sep-22,"39,211,294","20,592,390","44,107,715","18,236,903","2,938,134","15,298,769","-37,542,105","-22,243,336",1.06,"14,008,935",0,"15,298,769"
2880,華南金,Jun-22,"25,814,609","13,963,129","22,252,653","9,721,996","1,737,978","7,984,018","-20,091,031","-12,107,013",0.59,"13,642,746",0,"7,984,018"
2881,富邦金,Jun-22,"226,140,188","34,165,191","96,138,282","87,230,927","16,947,189","70,283,738","-355,543,758","-285,260,020",5.62,"11,804,964","3,026,121","70,283,738"
2882,國泰金,Jun-22,"237,796,265","42,013,962","112,786,175","63,755,657","14,442,263","49,313,394","-461,520,835","-412,207,441",3.45,"13,169,210","3,390,924","49,313,394"
2883,開發金,Jun-22,"74,234,053","14,528,163","36,374,402","18,498,642","4,866,733","13,631,909","-103,221,452","-89,589,543",0.81,"16,742,073","3,077","13,631,909"
2884,玉山金,Jun-22,"25,683,759","15,567,718","21,574,206","9,240,497","2,145,452","7,095,045","-9,403,733","-2,308,688",0.5,"14,267,285",0,"7,095,045"
2885,元大金,Jun-22,"50,292,485","22,144,872","20,250,972","15,463,337","3,294,318","12,169,019","-19,932,214","-7,763,195",0.92,"12,501,559",0,"12,169,019"
2886,兆豐金,Jun-22,"27,285,568","14,573,283","25,633,795","8,200,337","243,883","7,956,454","-21,032,941","-13,076,487",0.57,"13,939,820",0,"7,956,086"
2887,台新金,Jun-22,"30,976,832","14,189,195","18,851,396","6,112,974","1,642,408","4,470,566","-7,661,096","-3,190,530",0.32,"11,409,383","871,527","4,470,566"
2888,新光金,Jun-22,"76,366,361","13,341,295","57,312,162","4,301,800","1,385,923","2,915,877","-67,211,758","-64,295,881",0.16,"14,679,339","527,850","2,915,877"
2889,國票金,Jun-22,"3,082,047","1,820,946","1,861,457","1,264,791","295,474","969,317","-3,898,541","-2,929,224",0.25,"3,142,337",0,"969,346"
2890,永豐金,Jun-22,"24,107,791","12,826,159","18,166,240","10,014,633","1,786,806","8,227,827","-13,791,606","-5,563,779",0.72,"11,383,765",0,"8,227,827"
2891,中信金,Jun-22,"100,627,323","35,069,317","68,870,928","33,687,938","8,807,520","24,880,418","-83,579,696","-58,699,278",1.19,"19,496,990","1,069,980","24,880,418"
2892,第一金,Jun-22,"32,368,691","12,997,933","26,602,314","12,265,010","2,029,389","10,235,621","-9,004,096","1,231,525",0.77,"13,223,442",0,"10,238,466"
5880,合庫金,Jun-22,"23,787,464","13,259,095","26,999,692","11,117,536","1,769,458","9,348,078","-26,718,790","-17,370,712",0.64,"14,008,935",0,"9,348,078"
2880,華南金,Mar-22,"12,474,263","6,833,053","9,903,238","4,560,650","866,363","3,694,287","-6,280,940","-2,586,653",0.28,"13,194,145",0,"3,694,287"
2881,富邦金,Mar-22,"134,095,059","16,801,854","45,851,877","57,557,418","10,576,794","46,980,624","-136,659,384","-89,678,760",3.94,"11,804,964",0,"46,980,624"
2882,國泰金,Mar-22,"132,076,882","21,200,251","53,264,586","39,808,433","5,433,150","34,375,283","-181,104,992","-146,729,709",2.6,"13,169,210",0,"34,375,283"
2883,開發金,Mar-22,"41,656,732","7,607,996","17,453,018","11,604,888","1,924,701","9,680,187","-40,361,734","-30,681,547",0.58,"16,742,073",0,"9,680,187"
2884,玉山金,Mar-22,"13,550,987","7,867,436","9,885,772","5,339,287","1,012,481","4,326,806","-2,870,318","1,456,488",0.32,"13,359,383",0,"4,326,806"
2885,元大金,Mar-22,"25,819,549","11,388,306","9,747,767","8,271,757","1,623,662","6,648,095","-7,794,791","-1,146,696",0.51,"12,137,436",0,"6,648,095"
2886,兆豐金,Mar-22,"14,255,220","7,216,243","11,257,972","6,677,173","631,069","6,046,104","-6,673,873","-627,769",0.44,"13,599,824",0,"6,045,952"
2887,台新金,Mar-22,"16,611,041","7,058,926","8,772,602","2,934,805","793,660","2,141,145","474,686","2,615,831",0.15,"11,409,383","433,356","2,141,145"
2888,新光金,Mar-22,"49,142,735","6,633,737","27,917,125","5,369,965","1,893,175","3,476,790","-20,462,819","-16,986,029",0.24,"14,202,623",0,"3,476,790"
2889,國票金,Mar-22,"1,582,211","940,533","873,562","644,771","129,165","515,606","-1,967,939","-1,452,333",0.14,"2,987,842",0,"515,606"
2890,永豐金,Mar-22,"12,510,080","6,477,690","8,233,957","5,258,160","849,200","4,408,960","-3,867,405","541,555",0.39,"11,271,054",0,"4,408,960"
2891,中信金,Mar-22,"57,568,091","18,999,759","32,612,537","21,066,966","4,477,617","16,589,349","-27,343,604","-10,754,255",0.84,"19,496,990",0,"16,589,349"
2892,第一金,Mar-22,"15,471,518","6,363,333","12,024,331","5,944,308","1,000,186","4,944,122","1,125,403","6,069,525",0.38,"12,964,159",0,"4,945,568"
5880,合庫金,Mar-22,"11,556,147","6,513,875","12,467,292","5,281,286","804,373","4,476,913","-6,820,305","-2,343,392",0.32,"13,600,908",0,"4,476,913"
2880,華南金,Dec-21,"51,072,538","28,093,730","36,596,622","19,536,727","2,330,406","17,206,321","-2,497,076","14,709,245",1.3,"13,194,145",0,"17,206,321"
2881,富邦金,Dec-21,"485,832,177","71,872,868","168,724,610","165,589,399","18,354,467","147,234,932","18,561,610","165,796,542",12.49,"11,342,345","2,915,986","147,503,670"
2882,國泰金,Dec-21,"625,962,605","85,543,474","207,813,024","159,526,371","18,637,061","140,889,310","-94,275,862","46,613,448",10.34,"13,169,210","3,390,924","140,889,310"
2883,開發金,Dec-21,"192,278,170","35,016,319","69,225,228","52,199,699","5,100,224","47,099,475","-32,944,620","14,154,855",2.34,"14,969,971",0,"38,721,599"
2884,玉山金,Dec-21,"57,897,440","31,808,398","35,482,114","23,959,439","3,373,936","20,585,503","-642,507","19,942,996",1.54,"13,350,914",0,"20,563,421"
2885,元大金,Dec-21,"119,240,503","53,263,626","36,986,068","44,141,344","6,950,633","37,190,711","-6,141,800","31,048,911",2.87,"12,137,436",0,"37,190,711"
2886,兆豐金,Dec-21,"60,230,846","29,605,479","42,796,556","28,656,413","2,925,343","25,731,070","-2,433,425","23,297,645",1.89,"13,599,824",0,"25,722,727"
2887,台新金,Dec-21,"63,764,098","28,300,132","32,637,405","23,155,501","2,856,788","20,298,713","-491,932","19,806,781",1.63,"11,409,326","1,757,500","20,298,713"
2888,新光金,Dec-21,"216,512,146","29,410,903","108,110,074","18,441,707","-4,288,783","22,730,490","-5,366,032","17,364,458",1.67,"13,402,999","261,450","22,730,490"
2889,國票金,Dec-21,"10,163,867","4,517,024","3,435,284","5,495,755","890,705","4,605,050","-1,165,141","3,439,909",1.3,"2,987,509",0,"4,603,977"
2890,永豐金,Dec-21,"45,703,242","24,827,129","31,179,949","18,649,230","2,438,225","16,211,005","-1,387,147","14,823,858",1.44,"11,271,054",0,"16,211,005"
2891,中信金,Dec-21,"186,057,824","72,364,266","123,445,736","62,044,158","8,045,945","53,998,213","-6,710,113","47,288,100",2.73,"19,496,990","1,069,980","54,028,952"
2892,第一金,Dec-21,"62,604,429","26,274,683","44,846,079","23,433,444","3,694,399","19,739,045","-4,846,835","14,892,210",1.52,"12,964,159",0,"19,744,145"
5880,合庫金,Dec-21,"54,412,693","27,667,803","49,330,655","24,428,522","3,216,792","21,211,730","-4,493,669","16,718,061",1.51,"13,600,908",0,"21,008,485"
2880,華南金,Sep-21,"39,308,310","20,988,758","27,095,084","15,852,581","1,668,454","14,184,127","-2,407,866","11,776,261",1.08,"13,194,145",0,"14,184,127"
2881,富邦金,Sep-21,"380,040,341","51,071,766","124,557,261","149,925,246","16,742,442","133,182,804","-20,765,138","112,417,666",11.38,"11,240,469","2,915,986","133,182,804"
2882,國泰金,Sep-21,"477,589,050","62,572,371","154,940,407","138,078,189","15,708,729","122,369,460","-119,759,451","2,610,009",8.98,"13,169,210","3,390,924","122,369,460"
2883,開發金,Sep-21,"148,321,484","27,182,938","52,126,791","45,967,098","3,982,539","41,984,559","-40,835,888","1,148,671",2.05,"14,944,429",0,"33,610,253"
2884,玉山金,Sep-21,"43,228,903","23,571,579","26,131,619","18,578,025","2,678,751","15,899,274","-680,071","15,219,203",1.19,"13,349,671",0,"15,899,274"
